メーカー識別掛率集計コード,メーカー識別コード,掛率集計コード,掛率集計名称,掛率集計略称,加工名,得意先1,得意先2,得意先3,得意先4
MK0010,MK,0010,小口加工２ミリ,小口加２,手加工,,,,
MK0020,MK,0020,小口加工３・４ミリ,小口３・４,エッチング　,DM12（東芝・日立・フジテック）,,,
MK0030,MK,0030,小口加工５・６ミリ,小口５・６,エッチング,,,,
MK0040,MK,0040,小口加工６．８ミリ,小口６．８,エッチング,,,,
MK0050,MK,0050,小口加工８～１２ミリ,小口８～１２,エッチング,,,,
MK0060,MK,0060,小口加工１５ミリ以上,小口１５以上,エッチング,,,,
MK0070,MK,0070,広幅面取２ミリ,面取２,広幅,,,,
MK0080,MK,0080,広幅面取３・４ミリ,面取３・４,広幅,,,,
MK0090,MK,0090,広幅面取５・６ミリ,面取５・６,広幅,,,,
MK0100,MK,0100,広幅面取６．８ミリ,面取６．８,広幅,,,,
MK0110,MK,0110,広幅面取８～１２ミリ,面取８～１２,広幅,,,,
MK0120,MK,0120,広幅面取１５ミリ以上,面取１５以上,広幅,,,,
MK0130,MK,0130,ジャロジー５・６ミリ,ジャロ５・６,DM12,,,,
MK0140,MK,0140,ジャロジー６．８ミリ,ジャロ６．８,DM12,,,,
MK0150,MK,0150,ジャロジー８～１２,ジャ８～１２,エッチング,,,,
MK0160,MK,0160,引手加工３・４ミリ,引手３・４,引手,,,,
MK0170,MK,0170,引手加工５・６ミリ,引手５・６,引手,,,,
MK0180,MK,0180,引手加工６．８ミリ,引手６．８,引手,,,,
MK0190,MK,0190,引手加工８～１２ミリ,引手８～１２,引手,,,,
MK0200,MK,0200,引手加工１５ミリ以上,引手１５以上,引手,,,,
MK0210,MK,0210,ＮＣ加工５・６ミリ,ＮＣ５・６,手加工,,,,
MK0220,MK,0220,ＮＣ加工６．８ミリ,ＮＣ６．８,手加工,,,,
MK0230,MK,0230,ＮＣ加工８～１２ミリ,ＮＣ８～１２,手加工,,,,
MK0240,MK,0240,ＮＣ加工１５ミリ以上,ＮＣ１５以上,手加工,,,,
MK0250,MK,0250,コーナーＲ加工３・４ミリ,コＲ３・４,R加工,DM12（東芝・日立・フジテック）,,,
MK0260,MK,0260,コーナーＲ加工５・６ミリ,コＲ５・６,R加工,,,,
MK0270,MK,0270,コーナーＲ加工６．８ミリ,コＲ６．８,R加工,,,,
MK0280,MK,0280,コーナーＲ加工８～１２ミリ,コＲ８～１２,R加工,,,,
MK0290,MK,0290,コーナーＲ加工１５ミリ以上,コＲ１５以上,R加工,,,,
MK0300,MK,0300,穴加工３・４ミリ,穴３・４,穴,,,,
MK0310,MK,0310,穴加工５・６ミリ,穴５・６,穴,,,,
MK0320,MK,0320,穴加工６．８ミリ,穴６．８,穴,,,,
