"受注No","受注行No","硝/加工","追加区分","仕上日","出荷区分","工程","納品日","売上日","発注日","入庫日","得意先コード","得意先名称","商品コード","加工完成品商品コード","商品名称","W寸法","H寸法","掛率集計コード","掛率集計名称","掛率集計コード_1","掛率集計名称_2","受注数量","硝子枚数","㎡","総㎡","仕入金額","仕入単価","加工完成品仕入単価","硝子厚み","総重量","品種区分","発注先コード","加工完成品仕入先コード","検索キー","発注コード_照合","発注コード_本社判定","加工判定","洗浄区分","判定","OP区分"
"1386655","2","1","1","","","","2025/12/25","2025/12/25","0000/00/00","0000/00/00","85090","吉田硝子工業株式会社","CFL8","CFL8","ＦＬ８　　　　四方　磨き","558","338","0021","ＦＬ８","0021","ＦＬ８","6 ","6 ","0.189","1.134","4050","675","480","8","3.78","4","11111","11111","1386655211","11111","〇","〇","1:洗浄","〇(本社発注コード)","00"
"1386655","2","2","1","","","","2025/12/25","2025/12/25","0000/00/00","0000/00/00","85090","吉田硝子工業株式会社","CFL8","KC54M","ＦＬ８　　　　四方　磨き","558","338","0030","小口加工５・６ミリ","0030","小口加工５・６ミリ","6 ","6 ","0.189","1.134","4050","675","195","8","3.78","5","11210","11210","1386655221","11111","〇","〇","0:不要","〇(本社発注コード)","02"
"1386721","1","1","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","30530","㈱山陽堂","CPWL","-","ＰＷＬ　　　　　※目合わせ無し","1600","600","0031","ＰＷ","-","-","2 ","2 ","0.96","1.92","11846","5923","-","6.8","16.32","-","11111","-","1386721111","11111","〇","〇","1:洗浄","〇(本社発注コード)","00"
"1386721","2","2","1","","","","2025/12/24","2025/12/24","2025/12/23","2025/12/24","30530","㈱山陽堂","KC6.84M","-","ＰＷＬ　　　四方　磨き","1600","600","0040","小口加工６．８ミリ","-","-","2 ","2 ","1","2","3710","1855","-","6.8","17.00","-","11210","-","1386721221","","×","〇","0:不要","〇(本社発注コード)","02"
"1386722","1","1","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","CMT5","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","300","900","0042","Ｍ５","0042","Ｍ５","1 ","1 ","0.27","0.27","1435","1435","1174","5","3.38","4","11111","11111","1386722111","11111","〇","〇","1:洗浄","〇(本社発注コード)","00"
"1386722","1","2","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","300","900","0030","小口加工５・６ミリ","0030","小口加工５・６ミリ","1 ","1 ","0.27","0.27","1435","1435","261","5","3.38","5","11210","11210","1386722121","11111","〇","〇","0:不要","〇(本社発注コード)","02"
"1386722","2","2","1","","","","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","ＭＴ５　　　ミラーガード　全周塗","300","900","0000","-","-","-","1 ","1 ","1","1","168","168","-","0","0.00","-","11210","-","1386722221","","×","〇","0:不要","〇(本社発注コード)","02"
"1386724","1","1","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","CMT5","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","460","610","0042","Ｍ５","0042","Ｍ５","1 ","1 ","0.281","0.281","1455","1455","1222","5","3.51","4","11111","11111","1386724111","11111","〇","〇","1:洗浄","〇(本社発注コード)","00"
"1386724","1","2","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","460","610","0030","小口加工５・６ミリ","0030","小口加工５・６ミリ","1 ","1 ","0.281","0.281","1455","1455","233","5","3.51","5","11210","11210","1386724121","11111","〇","〇","0:不要","〇(本社発注コード)","02"
"1386724","2","2","1","","","","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","ＭＴ５　　　ミラーガード　全周塗","460","610","0000","-","-","-","1 ","1 ","1","1","150","150","-","0","0.00","-","11210","-","1386724221","","×","〇","0:不要","〇(本社発注コード)","02"
"1386725","1","1","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","CMT5","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","305","912","0042","Ｍ５","0042","Ｍ５","1 ","1 ","0.278","0.278","1474","1474","1209","5","3.48","4","11111","11111","1386725111","11111","〇","〇","1:洗浄","〇(本社発注コード)","00"
"1386725","1","2","1","","","","2025/12/24","2025/12/24","0000/00/00","0000/00/00","70020","前川硝子店","CMT5","KC54M","ＭＴ５　　　　四方　磨き　　４角オサエ（大きめ）","305","912","0030","小口加工５・６ミリ","0030","小口加工５・６ミリ","1 ","1 ","0.278","0.278","1474","1474","265","5","3.48","5","11210","11210","1386725121","11111","〇","〇","0:不要","〇(本社発注コード)","02"
"1386725","2","2","1","","","","2025/12/24","2025/12/24","2025/12/23","2025/12/24","70020","前川硝子店","MGZENSYU","-","ＭＴ５　　　ミラーガード　全周塗","305","912","0000","-","-","-","1 ","1 ","1","1","170","170","-","0","0.00","-","11210","-","1386725221","","×","〇","0:不要","〇(本社発注コード)","02"
